word,hint
snooty,showing arrogant superiority; acting like a snob
trudge,to walk slowly with heavy steps, especially when tired
repugnant,extremely disgusting or offensive
squeamish,easily nauseated or disturbed by unpleasant things
wan,pale and appearing sick or exhausted
bode,to be a sign of something that will happen; to predict
strife,angry or bitter disagreement; conflict
makeshift,temporary and improvised; created from whatever is available
concession,something granted or given up, often reluctantly
gruff,rough or harsh in manner or voice; brusque
